application_id: 1	name: MCS_distance_10.0_sigmaloc1_10.0_sigmaloc2_10.0_sigmasigmaloc1_2.0_sigmasigmaloc2_2.0_frames_10_numberofspots_1000_sample-heterogeneity_0_repeat_1.txt	filepath: /Volumes/blank	nr_pixels_x: 512	nr_pixels_y: 512	pixel_size: 159.0	nr_spots: 1046	box_size: 12	nr_channels: 2	nr_frames: 10	nr_slices: 1	nr_pos: 400	location_units: NM	intensity_units: PHOTONS	fit_mode: 1	is_track: false	has_Z: false
molecule	frame	slice	channel	pos	x_position	y_position	x(nm)	y(nm)	intensity	background	width	a	theta	sigma	int_ratio	alt_sigma	intensity_aperture	background_aperture
1	1	1	1	1	1	1	12492.9721545	12477.9529721	1	1	1	1	1	11.5105424397	1	1	1	1
2	2	1	1	1	1	1	12509.7262496	12525.7917319	1	1	1	1	1	11.9939231772	1	1	1	1
3	3	1	1	1	1	1	12497.7735466	12482.0035008	1	1	1	1	1	11.6106226632	1	1	1	1
4	4	1	1	1	1	1	12487.6998138	12494.367683	1	1	1	1	1	9.9121109463	1	1	1	1
5	5	1	1	1	1	1	12500.7327799	12495.4421695	1	1	1	1	1	7.99479295588	1	1	1	1
6	6	1	1	1	1	1	12498.575579	12486.6864941	1	1	1	1	1	6.32587322072	1	1	1	1
7	7	1	1	1	1	1	12497.1811613	12512.1507548	1	1	1	1	1	9.44597841488	1	1	1	1
8	8	1	1	1	1	1	12501.601189	12505.4157488	1	1	1	1	1	11.6946428956	1	1	1	1
9	9	1	1	1	1	1	12505.2168479	12498.3515302	1	1	1	1	1	11.086886666	1	1	1	1
10	10	1	1	1	1	1	12501.3407206	12487.7372032	1	1	1	1	1	9.05134492555	1	1	1	1
11	1	1	2	1	1	1	12516.4527682	12484.2212575	1	1	1	1	1	10.8054911006	1	1	1	1
12	2	1	2	1	1	1	12509.1867394	12498.198887	1	1	1	1	1	7.70018096653	1	1	1	1
13	3	1	2	1	1	1	12507.3912471	12498.202858	1	1	1	1	1	10.6562806604	1	1	1	1
14	4	1	2	1	1	1	12527.8652891	12503.7529821	1	1	1	1	1	14.3143525759	1	1	1	1
15	5	1	2	1	1	1	12532.5265952	12494.4375118	1	1	1	1	1	11.6297616565	1	1	1	1
16	6	1	2	1	1	1	12494.5295147	12505.9502536	1	1	1	1	1	9.55383711751	1	1	1	1
17	7	1	2	1	1	1	12504.8619947	12508.8743315	1	1	1	1	1	10.4812544754	1	1	1	1
18	8	1	2	1	1	1	12517.1214168	12489.8738628	1	1	1	1	1	10.5446984671	1	1	1	1
19	9	1	2	1	1	1	12512.6877567	12514.6578946	1	1	1	1	1	10.427504124	1	1	1	1
20	10	1	2	1	1	1	12495.9427534	12511.2951991	1	1	1	1	1	9.29008025124	1	1	1	1
21	1	1	1	2	1	1	12505.3009548	12499.4435678	1	1	1	1	1	7.1346835541	1	1	1	1
22	2	1	1	2	1	1	12516.6425526	12497.6506997	1	1	1	1	1	7.79558228891	1	1	1	1
23	3	1	1	2	1	1	12493.359859	12499.5673182	1	1	1	1	1	9.72122748832	1	1	1	1
24	4	1	1	2	1	1	12513.6820801	12517.7770256	1	1	1	1	1	9.55645129471	1	1	1	1
25	5	1	1	2	1	1	12488.502042	12498.5737761	1	1	1	1	1	10.453208672	1	1	1	1
26	6	1	1	2	1	1	12507.7491042	12492.376661	1	1	1	1	1	9.95764187396	1	1	1	1
27	7	1	1	2	1	1	12494.8375852	12509.8441367	1	1	1	1	1	11.654590741	1	1	1	1
28	8	1	1	2	1	1	12503.8869961	12495.5157538	1	1	1	1	1	10.9827955104	1	1	1	1
29	9	1	1	2	1	1	12506.9444975	12514.2235341	1	1	1	1	1	9.19699623356	1	1	1	1
30	10	1	1	2	1	1	12506.0547806	12490.4877115	1	1	1	1	1	8.05060296089	1	1	1	1
31	1	1	2	2	1	1	12515.0260738	12499.6049584	1	1	1	1	1	9.84473213641	1	1	1	1
32	2	1	2	2	1	1	12505.3128445	12501.574781	1	1	1	1	1	8.01400442632	1	1	1	1
33	3	1	2	2	1	1	12502.9208337	12484.8664431	1	1	1	1	1	7.05886583925	1	1	1	1
34	4	1	2	2	1	1	12495.2435675	12516.1983174	1	1	1	1	1	10.6070343111	1	1	1	1
35	5	1	2	2	1	1	12522.1960336	12516.3976516	1	1	1	1	1	11.2941802319	1	1	1	1
36	6	1	2	2	1	1	12527.7467811	12507.7512236	1	1	1	1	1	11.8041975197	1	1	1	1
37	7	1	2	2	1	1	12510.4357872	12507.9547951	1	1	1	1	1	10.378648925	1	1	1	1
38	8	1	2	2	1	1	12500.5693743	12486.3049781	1	1	1	1	1	9.09177207272	1	1	1	1
39	9	1	2	2	1	1	12517.8224384	12521.2303769	1	1	1	1	1	14.7700049521	1	1	1	1
40	10	1	2	2	1	1	12521.1748641	12501.8560871	1	1	1	1	1	8.78902323616	1	1	1	1
41	1	1	1	3	1	1	12479.2169132	12507.9566205	1	1	1	1	1	6.7136483024	1	1	1	1
42	2	1	1	3	1	1	12470.1373012	12477.7184404	1	1	1	1	1	13.712438884	1	1	1	1
43	3	1	1	3	1	1	12504.5273192	12507.2893751	1	1	1	1	1	9.24765554457	1	1	1	1
44	4	1	1	3	1	1	12502.7008726	12495.90932	1	1	1	1	1	8.97048748615	1	1	1	1
45	5	1	1	3	1	1	12500.892187	12506.9341405	1	1	1	1	1	8.16387158735	1	1	1	1
46	6	1	1	3	1	1	12490.4824996	12482.1101317	1	1	1	1	1	12.3473149999	1	1	1	1
47	7	1	1	3	1	1	12489.7953524	12510.0190166	1	1	1	1	1	10.094817662	1	1	1	1
48	8	1	1	3	1	1	12494.7335847	12519.3285351	1	1	1	1	1	10.9281955765	1	1	1	1
49	9	1	1	3	1	1	12519.1511255	12495.1247089	1	1	1	1	1	10.1438659427	1	1	1	1
50	10	1	1	3	1	1	12508.5755266	12498.6362816	1	1	1	1	1	7.75174787481	1	1	1	1
51	1	1	2	3	1	1	12510.3854327	12508.0914141	1	1	1	1	1	7.58668236722	1	1	1	1
52	2	1	2	3	1	1	12516.5415853	12517.6810641	1	1	1	1	1	10.4478328166	1	1	1	1
53	3	1	2	3	1	1	12526.2681432	12499.3856207	1	1	1	1	1	11.0466229421	1	1	1	1
54	4	1	2	3	1	1	12502.4919395	12491.6107795	1	1	1	1	1	11.7831289603	1	1	1	1
55	5	1	2	3	1	1	12515.9885689	12490.0660371	1	1	1	1	1	5.17626009394	1	1	1	1
56	6	1	2	3	1	1	12510.3927824	12509.7956076	1	1	1	1	1	7.26089047428	1	1	1	1
57	7	1	2	3	1	1	12511.1654925	12498.6755311	1	1	1	1	1	14.2506163096	1	1	1	1
58	8	1	2	3	1	1	12497.9583937	12504.0837903	1	1	1	1	1	9.54175526982	1	1	1	1
59	9	1	2	3	1	1	12509.7849047	12516.5019512	1	1	1	1	1	8.03119702342	1	1	1	1
60	10	1	2	3	1	1	12501.5171695	12496.1288159	1	1	1	1	1	10.8955845923	1	1	1	1
61	1	1	1	4	1	1	12497.922509	12489.7198819	1	1	1	1	1	6.91615995655	1	1	1	1
62	2	1	1	4	1	1	12502.8659954	12505.068014	1	1	1	1	1	11.7355868516	1	1	1	1
63	3	1	1	4	1	1	12498.9360686	12493.4068682	1	1	1	1	1	5.59606582849	1	1	1	1
64	4	1	1	4	1	1	12518.4134748	12506.7967499	1	1	1	1	1	8.62064657537	1	1	1	1
65	5	1	1	4	1	1	12497.5375273	12478.187664	1	1	1	1	1	11.3506424701	1	1	1	1
66	6	1	1	4	1	1	12500.1062719	12503.0069234	1	1	1	1	1	7.81975395223	1	1	1	1
67	7	1	1	4	1	1	12495.8362479	12499.468233	1	1	1	1	1	7.70304384781	1	1	1	1
68	8	1	1	4	1	1	12510.5885137	12503.4226366	1	1	1	1	1	7.99206933385	1	1	1	1
69	9	1	1	4	1	1	12505.0545535	12493.4149583	1	1	1	1	1	11.9616551131	1	1	1	1
70	10	1	1	4	1	1	12498.8959373	12499.0360252	1	1	1	1	1	8.40000663511	1	1	1	1
71	1	1	2	4	1	1	12509.5842132	12502.4379749	1	1	1	1	1	7.31019416853	1	1	1	1
72	2	1	2	4	1	1	12518.1791895	12500.9613586	1	1	1	1	1	10.3235786989	1	1	1	1
73	3	1	2	4	1	1	12501.5510556	12488.4800916	1	1	1	1	1	7.96607595391	1	1	1	1
74	4	1	2	4	1	1	12526.4933715	12512.3123396	1	1	1	1	1	12.1282640918	1	1	1	1
75	5	1	2	4	1	1	12523.7106141	12506.452968	1	1	1	1	1	9.00902909103	1	1	1	1
76	6	1	2	4	1	1	12504.9126734	12513.8769989	1	1	1	1	1	9.18020384016	1	1	1	1
77	7	1	2	4	1	1	12504.5697708	12505.4921531	1	1	1	1	1	7.75663248008	1	1	1	1
78	8	1	2	4	1	1	12509.8581791	12493.5392475	1	1	1	1	1	7.0210127282	1	1	1	1
79	9	1	2	4	1	1	12555.5785287	12514.0060311	1	1	1	1	1	18.4161711095	1	1	1	1
80	10	1	2	4	1	1	12509.7027371	12506.3518906	1	1	1	1	1	8.95340762161	1	1	1	1
81	1	1	1	5	1	1	12488.4873295	12505.3746669	1	1	1	1	1	12.2714074661	1	1	1	1
82	2	1	1	5	1	1	12496.5707474	12519.8000283	1	1	1	1	1	11.3457389595	1	1	1	1
83	3	1	1	5	1	1	12510.4130563	12507.2907192	1	1	1	1	1	8.99130413349	1	1	1	1
84	4	1	1	5	1	1	12494.6329794	12496.620621	1	1	1	1	1	9.75560823811	1	1	1	1
85	5	1	1	5	1	1	12507.185055	12494.6771456	1	1	1	1	1	9.24192932838	1	1	1	1
86	6	1	1	5	1	1	12498.7400709	12501.2328016	1	1	1	1	1	10.2614862612	1	1	1	1
87	7	1	1	5	1	1	12488.4081864	12502.2592424	1	1	1	1	1	14.3017274529	1	1	1	1
88	8	1	1	5	1	1	12498.7826263	12500.9775036	1	1	1	1	1	11.1996508401	1	1	1	1
89	9	1	1	5	1	1	12493.7446402	12501.6205828	1	1	1	1	1	10.6758684789	1	1	1	1
90	10	1	1	5	1	1	12482.1985652	12523.3184739	1	1	1	1	1	12.5004368653	1	1	1	1
91	1	1	2	5	1	1	12511.8790543	12499.4949502	1	1	1	1	1	9.39589362489	1	1	1	1
92	2	1	2	5	1	1	12499.9837387	12506.1646521	1	1	1	1	1	9.61389436916	1	1	1	1
93	3	1	2	5	1	1	12513.4558823	12500.0968642	1	1	1	1	1	8.68697946237	1	1	1	1
94	4	1	2	5	1	1	12512.027297	12488.5317802	1	1	1	1	1	10.9198796226	1	1	1	1
95	5	1	2	5	1	1	12495.3475045	12480.7291605	1	1	1	1	1	9.84791556707	1	1	1	1
96	6	1	2	5	1	1	12522.2678725	12488.1917541	1	1	1	1	1	8.70808839538	1	1	1	1
97	7	1	2	5	1	1	12527.7920041	12509.0561684	1	1	1	1	1	10.1925068941	1	1	1	1
98	8	1	2	5	1	1	12506.8909305	12500.4999749	1	1	1	1	1	8.30345648513	1	1	1	1
99	9	1	2	5	1	1	12515.3863271	12497.7696157	1	1	1	1	1	11.3732996557	1	1	1	1
100	10	1	2	5	1	1	12524.0165774	12499.8072507	1	1	1	1	1	8.13103670127	1	1	1	1
101	1	1	1	6	1	1	12500.2567651	12503.6585077	1	1	1	1	1	5.9765321572	1	1	1	1
102	2	1	1	6	1	1	12498.0361612	12496.9101081	1	1	1	1	1	12.2127647429	1	1	1	1
103	3	1	1	6	1	1	12482.0759096	12489.2039042	1	1	1	1	1	10.7486368783	1	1	1	1
104	4	1	1	6	1	1	12499.4190491	12519.1402035	1	1	1	1	1	11.9187165135	1	1	1	1
105	5	1	1	6	1	1	12508.960371	12475.9059539	1	1	1	1	1	9.79832639199	1	1	1	1
106	6	1	1	6	1	1	12489.5822089	12509.0088782	1	1	1	1	1	9.52171750413	1	1	1	1
107	7	1	1	6	1	1	12496.2760675	12500.2265124	1	1	1	1	1	8.91440055809	1	1	1	1
108	8	1	1	6	1	1	12504.4688388	12490.7244156	1	1	1	1	1	8.00577925319	1	1	1	1
109	9	1	1	6	1	1	12494.8806574	12495.787449	1	1	1	1	1	7.07459000424	1	1	1	1
110	10	1	1	6	1	1	12487.3388085	12504.4368231	1	1	1	1	1	8.93868331764	1	1	1	1
111	1	1	2	6	1	1	12507.8043226	12497.4558812	1	1	1	1	1	10.2439535217	1	1	1	1
112	2	1	2	6	1	1	12498.3954606	12489.5101619	1	1	1	1	1	8.73236575024	1	1	1	1
113	3	1	2	6	1	1	12506.371891	12513.4257378	1	1	1	1	1	11.8570971749	1	1	1	1
114	4	1	2	6	1	1	12521.3304241	12520.6590882	1	1	1	1	1	10.8338277408	1	1	1	1
115	5	1	2	6	1	1	12517.2274981	12488.1883844	1	1	1	1	1	8.9344149663	1	1	1	1
116	6	1	2	6	1	1	12500.6834884	12503.8227682	1	1	1	1	1	11.3055946127	1	1	1	1
117	7	1	2	6	1	1	12506.7253132	12509.3275748	1	1	1	1	1	11.3757675017	1	1	1	1
118	8	1	2	6	1	1	12505.4819545	12508.7293135	1	1	1	1	1	8.05894325596	1	1	1	1
119	9	1	2	6	1	1	12502.4046319	12519.1696919	1	1	1	1	1	12.3312982596	1	1	1	1
120	10	1	2	6	1	1	12517.0202954	12496.0849365	1	1	1	1	1	9.91786045881	1	1	1	1
121	1	1	1	7	1	1	12496.6291321	12492.5864181	1	1	1	1	1	7.50986000199	1	1	1	1
122	2	1	1	7	1	1	12495.7882284	12509.8940182	1	1	1	1	1	10.097063921	1	1	1	1
123	3	1	1	7	1	1	12503.1074463	12506.6903654	1	1	1	1	1	9.93353135178	1	1	1	1
124	4	1	1	7	1	1	12504.6319184	12503.7881757	1	1	1	1	1	6.66397907297	1	1	1	1
125	5	1	1	7	1	1	12492.5045615	12501.7951238	1	1	1	1	1	9.92305476551	1	1	1	1
126	6	1	1	7	1	1	12486.6634065	12507.9333493	1	1	1	1	1	11.083803314	1	1	1	1
127	7	1	1	7	1	1	12501.3797087	12498.5659143	1	1	1	1	1	7.14628412608	1	1	1	1
128	8	1	1	7	1	1	12512.8967928	12490.8065665	1	1	1	1	1	10.7320822608	1	1	1	1
129	9	1	1	7	1	1	12505.3573944	12500.998445	1	1	1	1	1	10.8665074845	1	1	1	1
130	10	1	1	7	1	1	12496.5519274	12488.7544141	1	1	1	1	1	10.3525658475	1	1	1	1
131	1	1	2	7	1	1	12526.2370216	12517.8605452	1	1	1	1	1	10.8355740259	1	1	1	1
132	2	1	2	7	1	1	12505.7375073	12494.1767826	1	1	1	1	1	10.8754230103	1	1	1	1
133	3	1	2	7	1	1	12504.0202197	12503.8293543	1	1	1	1	1	7.40260846652	1	1	1	1
134	4	1	2	7	1	1	12505.1303085	12498.31955	1	1	1	1	1	9.82000417057	1	1	1	1
135	5	1	2	7	1	1	12510.527223	12499.8155748	1	1	1	1	1	8.62288401956	1	1	1	1
136	6	1	2	7	1	1	12503.590514	12499.9186934	1	1	1	1	1	12.5651929982	1	1	1	1
137	7	1	2	7	1	1	12522.8307922	12495.5431677	1	1	1	1	1	11.3181267258	1	1	1	1
138	8	1	2	7	1	1	12519.8921704	12496.4086846	1	1	1	1	1	6.45277972536	1	1	1	1
139	9	1	2	7	1	1	12502.2966518	12491.6058427	1	1	1	1	1	7.98516181211	1	1	1	1
140	10	1	2	7	1	1	12508.8301832	12511.8001064	1	1	1	1	1	9.26284180346	1	1	1	1
141	1	1	1	8	1	1	12506.0382474	12503.6203381	1	1	1	1	1	8.06697300637	1	1	1	1
142	2	1	1	8	1	1	12488.8884016	12500.4367602	1	1	1	1	1	8.51147615085	1	1	1	1
143	3	1	1	8	1	1	12502.102086	12496.0509063	1	1	1	1	1	6.74208768271	1	1	1	1
144	4	1	1	8	1	1	12505.0775994	12499.1593212	1	1	1	1	1	11.7760011964	1	1	1	1
145	5	1	1	8	1	1	12499.4855507	12501.460533	1	1	1	1	1	6.93470283376	1	1	1	1
146	6	1	1	8	1	1	12505.8145211	12496.9888736	1	1	1	1	1	5.55434779598	1	1	1	1
147	7	1	1	8	1	1	12481.1386863	12496.6697596	1	1	1	1	1	9.94713857881	1	1	1	1
148	8	1	1	8	1	1	12504.6544471	12505.7914209	1	1	1	1	1	12.892962969	1	1	1	1
149	9	1	1	8	1	1	12496.4557525	12507.9126657	1	1	1	1	1	8.52249232163	1	1	1	1
150	10	1	1	8	1	1	12519.047451	12499.3819968	1	1	1	1	1	9.13899920328	1	1	1	1
151	1	1	2	8	1	1	12526.2110435	12493.9802658	1	1	1	1	1	12.2222006816	1	1	1	1
152	2	1	2	8	1	1	12511.7892576	12498.2007549	1	1	1	1	1	8.79993090614	1	1	1	1
153	3	1	2	8	1	1	12523.6409604	12497.7159901	1	1	1	1	1	9.93795518765	1	1	1	1
154	4	1	2	8	1	1	12514.7447208	12488.6829596	1	1	1	1	1	7.21740113229	1	1	1	1
